epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.045,1.093,3.32483,1.67457,0.7232,0.82196,0.88871,0.54486,1.30516,2.25728,1.81147,0.070625,0.00326389,0.00326389
2,567.102,0.94737,1.50203,1.32101,0.79505,0.77582,0.90287,0.55134,1.30351,3.19536,1.82052,0.0399719,0.0059441,0.0059441
3,897.695,0.98393,1.10672,1.30151,0.87489,0.91024,0.94546,0.61028,1.38869,2.03804,1.97834,0.00865875,0.00796431,0.00796431
4,1267.93,0.97196,0.84687,1.31099,0.88949,0.87784,0.95224,0.61962,1.29821,1.12232,1.81447,0.00703,0.00703,0.00703
5,1586.5,0.90452,0.62021,1.24418,0.87195,0.97785,0.97941,0.60968,1.34958,0.71072,1.76133,0.00604,0.00604,0.00604
6,1982.82,0.86967,0.58102,1.19701,0.96372,0.95085,0.98684,0.655,1.28426,0.68884,1.63995,0.00505,0.00505,0.00505
7,2312.02,0.84969,0.53717,1.19962,0.97788,0.98496,0.995,0.68275,1.15644,0.57432,1.53311,0.00406,0.00406,0.00406
8,2609.97,0.81483,0.48394,1.18828,0.96535,0.98057,0.995,0.68697,1.15451,0.54085,1.54979,0.00307,0.00307,0.00307
9,2929.76,0.76706,0.43747,1.13455,0.97411,0.99404,0.995,0.72095,1.10576,0.5033,1.44679,0.00208,0.00208,0.00208
10,3203.89,0.72969,0.39632,1.12902,0.97263,0.99027,0.995,0.70087,1.15458,0.49685,1.51121,0.00109,0.00109,0.00109
