epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1622.34,1.30434,1.5129,1.45311,0.97942,0.97151,0.995,0.67174,1.32015,0.59659,1.64582,0.0673474,0.000329825,0.000329825
2,2857.26,1.14235,1.07196,1.33473,0.96224,0.96909,0.991,0.66062,1.29005,0.61972,1.6018,0.0343255,0.000641274,0.000641274
3,4032.27,1.14597,0.87388,1.33203,0.97886,0.99215,0.995,0.69078,1.19476,0.55852,1.5377,0.0012816,0.000930723,0.000930723
4,5076.49,1.0833,0.81958,1.28172,0.98149,0.99898,0.995,0.70862,1.17715,0.53231,1.51425,0.000901,0.000901,0.000901
5,6253.58,1.03167,0.74407,1.24619,0.96091,1,0.995,0.69894,1.2104,0.52653,1.5594,0.000868,0.000868,0.000868
6,7054.32,1.02945,0.71783,1.24127,0.98673,0.99474,0.995,0.69563,1.21075,0.5274,1.5926,0.000835,0.000835,0.000835
7,7847.83,0.97155,0.66934,1.2261,0.96339,0.99476,0.99278,0.70406,1.14929,0.53625,1.48366,0.000802,0.000802,0.000802
8,9088.15,1.01917,0.6708,1.22945,0.96284,1,0.99278,0.70421,1.18952,0.54333,1.49793,0.000769,0.000769,0.000769
9,10028.2,0.91853,0.63728,1.17905,0.96188,0.98445,0.99278,0.69494,1.19812,0.54882,1.56404,0.000736,0.000736,0.000736
10,679.645,0.94921,0.63885,1.20848,0.96016,0.9856,0.99278,0.68772,1.24814,0.53109,1.59678,0.000703,0.000703,0.000703
11,1374.72,0.90491,0.61574,1.16951,0.96444,0.98885,0.99278,0.69592,1.21392,0.51091,1.55353,0.00067,0.00067,0.00067
12,2088.08,0.90767,0.59307,1.17625,0.96079,1,0.99278,0.7049,1.20742,0.50338,1.55287,0.000637,0.000637,0.000637
13,2875.61,0.8628,0.56227,1.1492,0.96081,1,0.99278,0.70616,1.18005,0.5104,1.51797,0.000604,0.000604,0.000604
14,3650.19,0.81899,0.51806,1.11692,0.9683,1,0.995,0.70378,1.186,0.49231,1.51714,0.000571,0.000571,0.000571
15,4378.52,0.82205,0.53222,1.1151,0.97043,1,0.995,0.71626,1.16131,0.48566,1.49627,0.000538,0.000538,0.000538
16,5189.09,0.76362,0.50036,1.11318,0.96543,0.99518,0.99278,0.72189,1.13387,0.49648,1.45748,0.000505,0.000505,0.000505
17,5978.87,0.8194,0.5091,1.12653,0.96689,0.99787,0.99037,0.71372,1.1685,0.4944,1.46015,0.000472,0.000472,0.000472
18,6721.5,0.75238,0.4768,1.08722,0.9682,0.99529,0.99278,0.69355,1.19673,0.50213,1.52571,0.000439,0.000439,0.000439
19,7434.24,0.85713,0.52745,1.14456,0.96714,1,0.99278,0.70894,1.18329,0.49596,1.51329,0.000406,0.000406,0.000406
20,8137.12,0.86408,0.54355,1.15212,0.97235,0.99934,0.995,0.7291,1.14762,0.49063,1.4951,0.000373,0.000373,0.000373
21,8797.91,0.70228,0.37572,1.09851,0.96837,1,0.99278,0.72257,1.11346,0.50781,1.46249,0.00034,0.00034,0.00034
22,9569.5,0.7055,0.36776,1.06952,0.96395,1,0.99278,0.71953,1.15465,0.46339,1.53667,0.000307,0.000307,0.000307
23,10297.4,0.67482,0.35985,1.05627,0.96677,1,0.99278,0.72841,1.13721,0.4592,1.49742,0.000274,0.000274,0.000274
24,11155.8,0.69204,0.35295,1.0916,0.9675,1,0.99278,0.71816,1.19034,0.46933,1.60008,0.000241,0.000241,0.000241
25,11833.4,0.70131,0.35057,1.08329,0.96616,1,0.99278,0.71504,1.18901,0.47229,1.58489,0.000208,0.000208,0.000208
26,12850.8,0.68681,0.3477,1.07649,0.96826,1,0.99278,0.7125,1.18453,0.48121,1.56518,0.000175,0.000175,0.000175
27,13752.9,0.6659,0.33467,1.061,0.96757,1,0.99278,0.71053,1.16194,0.46226,1.52451,0.000142,0.000142,0.000142
28,14801.7,0.65722,0.33884,1.0441,0.96685,0.99697,0.99278,0.71564,1.16598,0.46689,1.536,0.000109,0.000109,0.000109
29,15745.6,0.66332,0.34822,1.03808,0.96527,0.9986,0.99278,0.71943,1.17169,0.46912,1.55429,7.6e-05,7.6e-05,7.6e-05
30,16784.6,0.65623,0.34035,1.05172,0.96151,0.99388,0.99278,0.71774,1.16979,0.46545,1.55484,4.3e-05,4.3e-05,4.3e-05
